Business Unit,Total Reclaimable Storage (GB),Estimated Cost Savings (USD),Estimated Cost Savings (AED),Carbon Offset (kg CO₂)
AUH,11059.46015625,9953.514140625,36529.39689609375,41.40661882500001
BDB,12307.75166015625,11076.976494140625,40652.503733496094,46.080222215625
DATA,400.0,360.0,1321.1999999999998,1.4976
DXB,26.76474609375,24.088271484374992,88.40395634765625,0.10020720937500001
EXCH,9.205078125,8.284570312499998,30.404373046874998,0.034463812499999996
FAL,43942.20537109375,39547.984833984374,145141.10434072264,164.519616909375
HDS,817.2568359375,735.53115234375,2699.399329101562,3.0598095937500003
PURE,2.1943359375,1.9749023437499997,7.2478916015624995,0.00821559375
ROPS,50.0,45.0,165.14999999999998,0.1872
RTFD,0.01171875,0.0105468749999994,0.038707031249999996,4.387500000000001e-05
TKG,24.5486328125,22.093769531249993,81.0841341796875,0.09191008125
VEEA,2.3330078125,2.0997070312499995,7.7059248046875,0.00873478125
